Dialect Telugu,Standard Telugu,English Meaning
evandi meeku ela vundi_0,meeru ela unnaru_0,How are you? (0)
inka emaina kavala_1,inka emi kavali_1,Do you need anything else? (1)
vellipothunnanu_2,nenu velladam jarugutundi_2,I am going now (2)
ekkada kalustharu_3,meeru ekkada kalustharu_3,Where will you meet? (3)
meeru emi chesthunnaru_4,meeru emi chesthunnaru_4,What are you doing? (4)
evandi meeku ela vundi_5,meeru ela unnaru_5,How are you? (5)
inka emaina kavala_6,inka emi kavali_6,Do you need anything else? (6)
vellipothunnanu_7,nenu velladam jarugutundi_7,I am going now (7)
ekkada kalustharu_8,meeru ekkada kalustharu_8,Where will you meet? (8)
meeru emi chesthunnaru_9,meeru emi chesthunnaru_9,What are you doing? (9)
evandi meeku ela vundi_10,meeru ela unnaru_10,How are you? (10)
inka emaina kavala_11,inka emi kavali_11,Do you need anything else? (11)
vellipothunnanu_12,nenu velladam jarugutundi_12,I am going now (12)
ekkada kalustharu_13,meeru ekkada kalustharu_13,Where will you meet? (13)
meeru emi chesthunnaru_14,meeru emi chesthunnaru_14,What are you doing? (14)
evandi meeku ela vundi_15,meeru ela unnaru_15,How are you? (15)
inka emaina kavala_16,inka emi kavali_16,Do you need anything else? (16)
vellipothunnanu_17,nenu velladam jarugutundi_17,I am going now (17)
ekkada kalustharu_18,meeru ekkada kalustharu_18,Where will you meet? (18)
meeru emi chesthunnaru_19,meeru emi chesthunnaru_19,What are you doing? (19)
evandi meeku ela vundi_20,meeru ela unnaru_20,How are you? (20)
inka emaina kavala_21,inka emi kavali_21,Do you need anything else? (21)
vellipothunnanu_22,nenu velladam jarugutundi_22,I am going now (22)
ekkada kalustharu_23,meeru ekkada kalustharu_23,Where will you meet? (23)
meeru emi chesthunnaru_24,meeru emi chesthunnaru_24,What are you doing? (24)
evandi meeku ela vundi_25,meeru ela unnaru_25,How are you? (25)
inka emaina kavala_26,inka emi kavali_26,Do you need anything else? (26)
vellipothunnanu_27,nenu velladam jarugutundi_27,I am going now (27)
ekkada kalustharu_28,meeru ekkada kalustharu_28,Where will you meet? (28)
meeru emi chesthunnaru_29,meeru emi chesthunnaru_29,What are you doing? (29)
evandi meeku ela vundi_30,meeru ela unnaru_30,How are you? (30)
inka emaina kavala_31,inka emi kavali_31,Do you need anything else? (31)
vellipothunnanu_32,nenu velladam jarugutundi_32,I am going now (32)
ekkada kalustharu_33,meeru ekkada kalustharu_33,Where will you meet? (33)
meeru emi chesthunnaru_34,meeru emi chesthunnaru_34,What are you doing? (34)
evandi meeku ela vundi_35,meeru ela unnaru_35,How are you? (35)
inka emaina kavala_36,inka emi kavali_36,Do you need anything else? (36)
vellipothunnanu_37,nenu velladam jarugutundi_37,I am going now (37)
ekkada kalustharu_38,meeru ekkada kalustharu_38,Where will you meet? (38)
meeru emi chesthunnaru_39,meeru emi chesthunnaru_39,What are you doing? (39)
evandi meeku ela vundi_40,meeru ela unnaru_40,How are you? (40)
inka emaina kavala_41,inka emi kavali_41,Do you need anything else? (41)
vellipothunnanu_42,nenu velladam jarugutundi_42,I am going now (42)
ekkada kalustharu_43,meeru ekkada kalustharu_43,Where will you meet? (43)
meeru emi chesthunnaru_44,meeru emi chesthunnaru_44,What are you doing? (44)
evandi meeku ela vundi_45,meeru ela unnaru_45,How are you? (45)
inka emaina kavala_46,inka emi kavali_46,Do you need anything else? (46)
vellipothunnanu_47,nenu velladam jarugutundi_47,I am going now (47)
ekkada kalustharu_48,meeru ekkada kalustharu_48,Where will you meet? (48)
meeru emi chesthunnaru_49,meeru emi chesthunnaru_49,What are you doing? (49)
evandi meeku ela vundi_50,meeru ela unnaru_50,How are you? (50)
inka emaina kavala_51,inka emi kavali_51,Do you need anything else? (51)
vellipothunnanu_52,nenu velladam jarugutundi_52,I am going now (52)
ekkada kalustharu_53,meeru ekkada kalustharu_53,Where will you meet? (53)
meeru emi chesthunnaru_54,meeru emi chesthunnaru_54,What are you doing? (54)
evandi meeku ela vundi_55,meeru ela unnaru_55,How are you? (55)
inka emaina kavala_56,inka emi kavali_56,Do you need anything else? (56)
vellipothunnanu_57,nenu velladam jarugutundi_57,I am going now (57)
ekkada kalustharu_58,meeru ekkada kalustharu_58,Where will you meet? (58)
meeru emi chesthunnaru_59,meeru emi chesthunnaru_59,What are you doing? (59)
evandi meeku ela vundi_60,meeru ela unnaru_60,How are you? (60)
inka emaina kavala_61,inka emi kavali_61,Do you need anything else? (61)
vellipothunnanu_62,nenu velladam jarugutundi_62,I am going now (62)
ekkada kalustharu_63,meeru ekkada kalustharu_63,Where will you meet? (63)
meeru emi chesthunnaru_64,meeru emi chesthunnaru_64,What are you doing? (64)
evandi meeku ela vundi_65,meeru ela unnaru_65,How are you? (65)
inka emaina kavala_66,inka emi kavali_66,Do you need anything else? (66)
vellipothunnanu_67,nenu velladam jarugutundi_67,I am going now (67)
ekkada kalustharu_68,meeru ekkada kalustharu_68,Where will you meet? (68)
meeru emi chesthunnaru_69,meeru emi chesthunnaru_69,What are you doing? (69)
evandi meeku ela vundi_70,meeru ela unnaru_70,How are you? (70)
inka emaina kavala_71,inka emi kavali_71,Do you need anything else? (71)
vellipothunnanu_72,nenu velladam jarugutundi_72,I am going now (72)
ekkada kalustharu_73,meeru ekkada kalustharu_73,Where will you meet? (73)
meeru emi chesthunnaru_74,meeru emi chesthunnaru_74,What are you doing? (74)
evandi meeku ela vundi_75,meeru ela unnaru_75,How are you? (75)
inka emaina kavala_76,inka emi kavali_76,Do you need anything else? (76)
vellipothunnanu_77,nenu velladam jarugutundi_77,I am going now (77)
ekkada kalustharu_78,meeru ekkada kalustharu_78,Where will you meet? (78)
meeru emi chesthunnaru_79,meeru emi chesthunnaru_79,What are you doing? (79)
evandi meeku ela vundi_80,meeru ela unnaru_80,How are you? (80)
inka emaina kavala_81,inka emi kavali_81,Do you need anything else? (81)
vellipothunnanu_82,nenu velladam jarugutundi_82,I am going now (82)
ekkada kalustharu_83,meeru ekkada kalustharu_83,Where will you meet? (83)
meeru emi chesthunnaru_84,meeru emi chesthunnaru_84,What are you doing? (84)
evandi meeku ela vundi_85,meeru ela unnaru_85,How are you? (85)
inka emaina kavala_86,inka emi kavali_86,Do you need anything else? (86)
vellipothunnanu_87,nenu velladam jarugutundi_87,I am going now (87)
ekkada kalustharu_88,meeru ekkada kalustharu_88,Where will you meet? (88)
meeru emi chesthunnaru_89,meeru emi chesthunnaru_89,What are you doing? (89)
evandi meeku ela vundi_90,meeru ela unnaru_90,How are you? (90)
inka emaina kavala_91,inka emi kavali_91,Do you need anything else? (91)
vellipothunnanu_92,nenu velladam jarugutundi_92,I am going now (92)
ekkada kalustharu_93,meeru ekkada kalustharu_93,Where will you meet? (93)
meeru emi chesthunnaru_94,meeru emi chesthunnaru_94,What are you doing? (94)
evandi meeku ela vundi_95,meeru ela unnaru_95,How are you? (95)
inka emaina kavala_96,inka emi kavali_96,Do you need anything else? (96)
vellipothunnanu_97,nenu velladam jarugutundi_97,I am going now (97)
ekkada kalustharu_98,meeru ekkada kalustharu_98,Where will you meet? (98)
meeru emi chesthunnaru_99,meeru emi chesthunnaru_99,What are you doing? (99)
evandi meeku ela vundi_100,meeru ela unnaru_100,How are you? (100)
inka emaina kavala_101,inka emi kavali_101,Do you need anything else? (101)
vellipothunnanu_102,nenu velladam jarugutundi_102,I am going now (102)
ekkada kalustharu_103,meeru ekkada kalustharu_103,Where will you meet? (103)
meeru emi chesthunnaru_104,meeru emi chesthunnaru_104,What are you doing? (104)
evandi meeku ela vundi_105,meeru ela unnaru_105,How are you? (105)
inka emaina kavala_106,inka emi kavali_106,Do you need anything else? (106)
vellipothunnanu_107,nenu velladam jarugutundi_107,I am going now (107)
ekkada kalustharu_108,meeru ekkada kalustharu_108,Where will you meet? (108)
meeru emi chesthunnaru_109,meeru emi chesthunnaru_109,What are you doing? (109)
evandi meeku ela vundi_110,meeru ela unnaru_110,How are you? (110)
inka emaina kavala_111,inka emi kavali_111,Do you need anything else? (111)
vellipothunnanu_112,nenu velladam jarugutundi_112,I am going now (112)
ekkada kalustharu_113,meeru ekkada kalustharu_113,Where will you meet? (113)
meeru emi chesthunnaru_114,meeru emi chesthunnaru_114,What are you doing? (114)
evandi meeku ela vundi_115,meeru ela unnaru_115,How are you? (115)
inka emaina kavala_116,inka emi kavali_116,Do you need anything else? (116)
vellipothunnanu_117,nenu velladam jarugutundi_117,I am going now (117)
ekkada kalustharu_118,meeru ekkada kalustharu_118,Where will you meet? (118)
meeru emi chesthunnaru_119,meeru emi chesthunnaru_119,What are you doing? (119)
evandi meeku ela vundi_120,meeru ela unnaru_120,How are you? (120)
inka emaina kavala_121,inka emi kavali_121,Do you need anything else? (121)
vellipothunnanu_122,nenu velladam jarugutundi_122,I am going now (122)
ekkada kalustharu_123,meeru ekkada kalustharu_123,Where will you meet? (123)
meeru emi chesthunnaru_124,meeru emi chesthunnaru_124,What are you doing? (124)
evandi meeku ela vundi_125,meeru ela unnaru_125,How are you? (125)
inka emaina kavala_126,inka emi kavali_126,Do you need anything else? (126)
vellipothunnanu_127,nenu velladam jarugutundi_127,I am going now (127)
ekkada kalustharu_128,meeru ekkada kalustharu_128,Where will you meet? (128)
