Dialect Telugu,Standard Telugu,English Meaning
em chestunnav,emi chestunnaru,What are you doing? (0)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (1)
vachava,meeru vachara,Did you come? (2)
tinnava,meeru tinnara,Did you eat? (3)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (4)
em chestunnav,emi chestunnaru,What are you doing? (5)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (6)
vachava,meeru vachara,Did you come? (7)
tinnava,meeru tinnara,Did you eat? (8)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (9)
em chestunnav,emi chestunnaru,What are you doing? (10)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (11)
vachava,meeru vachara,Did you come? (12)
tinnava,meeru tinnara,Did you eat? (13)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (14)
em chestunnav,emi chestunnaru,What are you doing? (15)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (16)
vachava,meeru vachara,Did you come? (17)
tinnava,meeru tinnara,Did you eat? (18)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (19)
em chestunnav,emi chestunnaru,What are you doing? (20)
nuvvu ekkadiki vellav_21,meeru ekkadiki vellaru_21,Where did you go? (21)
vachava,meeru vachara_22,Did you come? (22)
tinnava,meeru tinnara_23,Did you eat? (23)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru_24,Why are you saying like this? (24)
em chestunnav_25,emi chestunnaru_25,What are you doing? (25)
nuvvu ekkadiki vellav_26,meeru ekkadiki vellaru_26,Where did you go? (26)
vachava_27,meeru vachara_27,Did you come? (27)
tinnava_28,meeru tinnara_28,Did you eat? (28)
endhuku ila cheptunnav_29,meeru endhuku ila cheptunnaru_29,Why are you saying like this? (29)
em chestunnav_30,emi chestunnaru_30,What are you doing? (30)
nuvvu ekkadiki vellav_31,meeru ekkadiki vellaru_31,Where did you go? (31)
vachava_32,meeru vachara_32,Did you come? (32)
tinnava_33,meeru tinnara_33,Did you eat? (33)
endhuku ila cheptunnav_34,meeru endhuku ila cheptunnaru_34,Why are you saying like this? (34)
em chestunnav_35,emi chestunnaru_35,What are you doing? (35)
nuvvu ekkadiki vellav_36,meeru ekkadiki vellaru_36,Where did you go? (36)
vachava_37,meeru vachara_37,Did you come? (37)
tinnava_38,meeru tinnara_38,Did you eat? (38)
endhuku ila cheptunnav_39,meeru endhuku ila cheptunnaru_39,Why are you saying like this? (39)
em chestunnav_40,emi chestunnaru_40,What are you doing? (40)
nuvvu ekkadiki vellav_41,meeru ekkadiki vellaru_41,Where did you go? (41)
vachava_42,meeru vachara_42,Did you come? (42)
tinnava_43,meeru tinnara_43,Did you eat? (43)
endhuku ila cheptunnav_44,meeru endhuku ila cheptunnaru_44,Why are you saying like this? (44)
em chestunnav_45,emi chestunnaru_45,What are you doing? (45)
nuvvu ekkadiki vellav_46,meeru ekkadiki vellaru_46,Where did you go? (46)
vachava_47,meeru vachara_47,Did you come? (47)
tinnava_48,meeru tinnara_48,Did you eat? (48)
endhuku ila cheptunnav_49,meeru endhuku ila cheptunnaru_49,Why are you saying like this? (49)
em chestunnav_50,emi chestunnaru_50,What are you doing? (50)
nuvvu ekkadiki vellav_51,meeru ekkadiki vellaru_51,Where did you go? (51)
vachava_52,meeru vachara_52,Did you come? (52)
tinnava_53,meeru tinnara_53,Did you eat? (53)
endhuku ila cheptunnav_54,meeru endhuku ila cheptunnaru_54,Why are you saying like this? (54)
em chestunnav_55,emi chestunnaru_55,What are you doing? (55)
nuvvu ekkadiki vellav_56,meeru ekkadiki vellaru_56,Where did you go? (56)
vachava_57,meeru vachara_57,Did you come? (57)
tinnava_58,meeru tinnara_58,Did you eat? (58)
endhuku ila cheptunnav_59,meeru endhuku ila cheptunnaru_59,Why are you saying like this? (59)
em chestunnav_60,emi chestunnaru_60,What are you doing? (60)
nuvvu ekkadiki vellav_61,meeru ekkadiki vellaru_61,Where did you go? (61)
vachava_62,meeru vachara_62,Did you come? (62)
tinnava_63,meeru tinnara_63,Did you eat? (63)
endhuku ila cheptunnav_64,meeru endhuku ila cheptunnaru_64,Why are you saying like this? (64)
em chestunnav_65,emi chestunnaru_65,What are you doing? (65)
nuvvu ekkadiki vellav_66,meeru ekkadiki vellaru_66,Where did you go? (66)
vachava_67,meeru vachara_67,Did you come? (67)
tinnava_68,meeru tinnara_68,Did you eat? (68)
endhuku ila cheptunnav_69,meeru endhuku ila cheptunnaru_69,Why are you saying like this? (69)
em chestunnav_70,emi chestunnaru_70,What are you doing? (70)
nuvvu ekkadiki vellav_71,meeru ekkadiki vellaru_71,Where did you go? (71)
vachava_72,meeru vachara_72,Did you come? (72)
tinnava_73,meeru tinnara_73,Did you eat? (73)
endhuku ila cheptunnav_74,meeru endhuku ila cheptunnaru_74,Why are you saying like this? (74)
em chestunnav_75,emi chestunnaru_75,What are you doing? (75)
nuvvu ekkadiki vellav_76,meeru ekkadiki vellaru_76,Where did you go? (76)
vachava_77,meeru vachara_77,Did you come? (77)
tinnava_78,meeru tinnara_78,Did you eat? (78)
endhuku ila cheptunnav_79,meeru endhuku ila cheptunnaru_79,Why are you saying like this? (79)
em chestunnav_80,emi chestunnaru_80,What are you doing? (80)
nuvvu ekkadiki vellav_81,meeru ekkadiki vellaru_81,Where did you go? (81)
vachava_82,meeru vachara_82,Did you come? (82)
tinnava_83,meeru tinnara_83,Did you eat? (83)
endhuku ila cheptunnav_84,meeru endhuku ila cheptunnaru_84,Why are you saying like this? (84)
em chestunnav_85,emi chestunnaru_85,What are you doing? (85)
nuvvu ekkadiki vellav_86,meeru ekkadiki vellaru_86,Where did you go? (86)
vachava_87,meeru vachara_87,Did you come? (87)
tinnava_88,meeru tinnara_88,Did you eat? (88)
endhuku ila cheptunnav_89,meeru endhuku ila cheptunnaru_89,Why are you saying like this? (89)
em chestunnav_90,emi chestunnaru_90,What are you doing? (90)
nuvvu ekkadiki vellav_91,meeru ekkadiki vellaru_91,Where did you go? (91)
vachava_92,meeru vachara_92,Did you come? (92)
tinnava_93,meeru tinnara_93,Did you eat? (93)
endhuku ila cheptunnav_94,meeru endhuku ila cheptunnaru_94,Why are you saying like this? (94)
em chestunnav_95,emi chestunnaru_95,What are you doing? (95)
nuvvu ekkadiki vellav_96,meeru ekkadiki vellaru_96,Where did you go? (96)
vachava_97,meeru vachara_97,Did you come? (97)
tinnava_98,meeru tinnara_98,Did you eat? (98)
endhuku ila cheptunnav_99,meeru endhuku ila cheptunnaru_99,Why are you saying like this? (99)
em chestunnav_100,emi chestunnaru_100,What are you doing? (100)
nuvvu ekkadiki vellav_101,meeru ekkadiki vellaru_101,Where did you go? (101)
vachava_102,meeru vachara_102,Did you come? (102)
tinnava_103,meeru tinnara_103,Did you eat? (103)
endhuku ila cheptunnav_104,meeru endhuku ila cheptunnaru_104,Why are you saying like this? (104)
em chestunnav_105,emi chestunnaru_105,What are you doing? (105)
nuvvu ekkadiki vellav_106,meeru ekkadiki vellaru_106,Where did you go? (106)
vachava_107,meeru vachara_107,Did you come? (107)
tinnava_108,meeru tinnara_108,Did you eat? (108)
endhuku ila cheptunnav_109,meeru endhuku ila cheptunnaru_109,Why are you saying like this? (109)
em chestunnav_110,emi chestunnaru_110,What are you doing? (110)
nuvvu ekkadiki vellav_111,meeru ekkadiki vellaru_111,Where did you go? (111)
vachava_112,meeru vachara_112,Did you come? (112)
tinnava_113,meeru tinnara_113,Did you eat? (113)
endhuku ila cheptunnav_114,meeru endhuku ila cheptunnaru_114,Why are you saying like this? (114)
em chestunnav_115,emi chestunnaru_115,What are you doing? (115)
nuvvu ekkadiki vellav_116,meeru ekkadiki vellaru_116,Where did you go? (116)
vachava_117,meeru vachara_117,Did you come? (117)
